rule_id,API_norm_MF,S_t_MF,SMI_t_MF,Pt_MF,delta_WL_t_MF,rule_output_constant
218,0,1,3,3,3,[ 0.35004374  0.54551893  0.29430592  0.15363376 -0.47680998  0.5248327 ]
219,0,1,3,3,4,[ 0.00797204  0.7170497  -0.03482789  0.0456231   0.7408794   0.6063722 ]
220,0,1,3,4,0,[-0.07081962  0.65388966  0.01961815  0.1565769   0.33431584  0.5911625 ]
221,0,1,3,4,1,[ 1.0506878  -0.24520025 -1.3309991  -0.63428414 -0.38035616 -1.2920631 ]
222,0,1,3,4,2,[-0.89570206  0.2971018  -0.2886372   0.30407912  1.648382   -0.10185207]
223,0,1,3,4,3,[ 0.4169597   0.7785877   0.37034395  0.2813041  -0.7754316   0.69583166]
224,0,1,3,4,4,[-0.05442805  1.0844245  -0.00360577  0.22017218  1.0857106   1.0379157 ]
225,0,1,4,0,0,[ 0.05114548  0.22739781 -0.228946   -0.2584781  -0.00392648 -0.07283587]
226,0,1,4,0,1,[ 0.3909203  -0.255582   -1.2033943  -0.94425744 -0.5723052  -1.5075114 ]
227,0,1,4,0,2,[-0.28165832  0.16202323 -0.4200326  -0.28354952  0.4828047  -0.36255154]
228,0,1,4,0,3,[ 0.2928372   0.27020088  0.06825147 -0.01135772 -0.32304704  0.1658205 ]
229,0,1,4,0,4,[ 0.04533154  0.42541945 -0.23353419 -0.20745473  0.29953736  0.13442995]
230,0,1,4,1,0,[-0.5568275  -0.32143632  0.6675904  -0.1935133   0.5338512   0.9572839 ]
231,0,1,4,1,1,[ 0.5326991  -0.7857525   0.02898852 -0.8123847   0.18792316  0.54092795]
232,0,1,4,1,2,[-1.5348599  -1.2308432   0.7264894  -0.18371536  1.6858734   0.25391114]
233,0,1,4,1,3,[ 0.0296609   0.1598785   0.39378875 -0.00730919 -0.70975184  0.51796216]
234,0,1,4,1,4,[-0.56800944 -0.05238114  0.63580525 -0.13374881  1.1086566   1.187011  ]
235,0,1,4,2,0,[-0.21389537 -0.07687467  0.20840955 -0.11326839  0.22297956  0.39422378]
236,0,1,4,2,1,[ 0.44117492 -0.48718426 -0.44070265 -0.60442835 -0.13950792 -0.32800043]
237,0,1,4,2,2,[-0.781086   -0.49669325  0.15638517 -0.10732308  0.9410418  -0.01965534]
238,0,1,4,2,3,[ 0.13071656  0.14746742  0.19887607  0.03782744 -0.47410294  0.26785517]
239,0,1,4,2,4,[-0.22264746  0.13127722  0.19331671 -0.07498084  0.6079922   0.5886145 ]
240,0,1,4,3,0,[-0.10112274  0.10196808 -0.05121302 -0.2497013   0.11757773  0.1630452 ]
241,0,1,4,3,1,[ 0.5408781  -0.5089905  -1.1433637  -1.0362169  -0.51329994 -1.3116672 ]
242,0,1,4,3,2,[-0.6876369  -0.19876604 -0.22207814 -0.2650569   0.90367675 -0.29489985]
243,0,1,4,3,3,[ 0.28268808  0.271381    0.15718825  0.01747875 -0.53533655  0.2563955 ]
244,0,1,4,3,4,[-0.11100484  0.37292254 -0.06156577 -0.191545    0.5719818   0.43456718]
245,0,1,4,4,0,[-0.20656735  0.19067867 -0.01980424 -0.18350936  0.18605784  0.40267295]
246,0,1,4,4,1,[ 0.8004151  -0.69133806 -1.4262797  -1.1041255  -0.6279775  -1.4466524 ]
247,0,1,4,4,2,[-1.0699003  -0.211542   -0.23289838 -0.1573582   1.370835   -0.16174886]
